decimalLatitude,decimalLongitude,speciesQueried,country,year,lifeStage
-3.4653,-62.2159,Callithrix jacchus,Brazil,2018,Adult
-4.2121,-63.0012,Callithrix penicillata,Brazil,2019,Juvenile
5.0000,-74.0000,Cebuella pygmaea,Colombia,2017,Adult
-1.4563,-78.9874,Leontopithecus rosalia,Ecuador,2020,Subadult
-12.4634,-55.6658,Saguinus oedipus,Brazil,2016,Adult
2.0500,-75.2500,Saguinus mystax,Colombia,2021,Juvenile
-9.1900,-67.8280,Leontopithecus chrysomelas,Brazil,2015,Adult
0.0000,-60.0000,Callithrix geoffroyi,Venezuela,2019,Subadult
4.5709,-74.2973,Cebuella pygmaea,Colombia,2022,Adult
-15.7797,-47.9297,Callithrix jacchus,Brazil,2023,Juvenile
